title,title_url,title1,price,star,review,details,adult_info
ＫＫＲホテル東京（国家公務員共済組合連合会東京共済会館）,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=305158&callbackHistFlg=1,東京駅より車で約5分。東西線竹橋駅直結。皇居のお堀に佇むホテル,14400,4.6,926,四季折々、至高のくつろぎをお届けする絶好のロケーション。,大人1名(税込)
アパホテル〈銀座 宝町〉,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=301277&callbackHistFlg=1,全108室!東京・銀座・日本橋　主要3エリアへもアクセス良好!,6100,4.0,302,浅草線「宝町駅」A1出口徒歩1分、東京駅八重洲南口から徒歩12分！銀座線「京橋駅」1番出口徒歩4分！ 羽田空港は乗換なし40分！ビジネスはもちろん観光の拠点として最適のホテル☆,大人1名(税込)
コンフォートホテル東京神田,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=377665&callbackHistFlg=1,ＪＲ神田駅東口徒歩4分◆地下鉄岩本町駅A1出口徒歩3分,8200,4.2,2117,朝食ビュッフェ無料！期間限定メニューやこだわりのスムージーなど多彩なメニュー◆小学6年生まで添い寝無料◆フリードリンク有、仕事にも最適なライブラリーカフェ！チェックイン前アウト後も利用可,大人1名(税込)
レム東京京橋,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=346819&callbackHistFlg=1,「東京駅」八重洲南口徒歩7分 銀座線「京橋駅」入口 ホテル玄関前,17000,4.3,32,「東京駅」八重洲南口 京葉線地下八重洲口 徒歩7分/銀座線「京橋駅」入口はホテル玄関前。銀座線で都内主要スポットへアクセス抜群！渋谷 表参道 浅草 上野 は乗換なし/東京ドーム 日本武道館は乗換1回,大人1名(税込)
豪華カプセルホテル　安心お宿　秋葉原店,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=386755&callbackHistFlg=1,大浴場とサウナと無料盛り沢山のよくばりなホテル♪,5080,3.9,476,電気街口から徒歩120秒！ 大浴場とサウナのよくばりホテル♪ お酒・ラーメン・カレー・アメニティも全部無料,大人1名(税込)
グランドセントラルホテル,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=323236&callbackHistFlg=1,都内どこへ行くにもアクセス◎。JR・銀座線神田駅より徒歩3分。,8100,4.0,58,東京駅から１駅。秋葉原や大手町も徒歩圏内。全室バス・シャワートイレ付。Wi-Fi完備。コンビニ至近。嬉しい１１時チェックアウト。未就学児は添寝無料。,大人1名(税込)
トーセイホテルココネ神田,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=339342&callbackHistFlg=1,神田駅より徒歩3分(東京駅から1駅)　フリードリンク・漫画読み放題,7805,4.0,33,厳選豆挽きたてコーヒー・ココア・紅茶飲み放題！ 漫画1000冊読み放題♪ 入浴剤無料♪,大人1名(税込)
Ｊホテル東京ジオ,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=357898&callbackHistFlg=1,全室大型プロジェクターが魅力♪東京駅徒歩6分の好立地♪,14960,4.2,239,全室大型プロジェクターが魅力♪東京駅徒歩6分の好立地♪,大人1名(税込)
アパホテル〈銀座 京橋〉,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=358755&callbackHistFlg=1,東京駅に一番近いアパホテル。銀座ゼロ丁目　「京橋」駅前。,6700,3.8,190,「東京駅」に一番近いアパホテル。東京メトロ銀座線「京橋駅」徒歩2分。JR「東京駅」（八重洲南口）徒歩10分、JR有楽町駅徒歩約10分。都営浅草線「宝町駅」徒歩約1分。上野・新橋・渋谷に乗換えなし♪,大人1名(税込)
庭のホテル　東京,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=340076&callbackHistFlg=1,2022年3月25日リニューアルオープン,23100,4.5,1892,コンセプトは、贅沢さよりも上質さにこだわった「美しい和のホテル」。 心をこめたサービスで心地よい滞在をサポートします。,大人1名(税込)
ホテルサードニクス東京,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=311518&callbackHistFlg=1,【クチコミ評価4.5】全室２４平米以上で広々♪立地も抜群☆,15010,4.3,3937,全室24㎡以上のゆとりの空間、ベッドはサータ社製140cm以上でお子様の添い寝も快適！ディズニー、銀座、都内各所へ好アクセス！日比谷線八丁堀駅目の前、東京駅よりタクシーワンメーター！,大人1名(税込)
オリンピックイン神田,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=379016&callbackHistFlg=1,シングルからフォースまで多様な部屋タイプをご用意。,5400,4.0,2549,閲覧して頂き、誠にありがとうございます。,大人1名(税込)
ベルケンホテル・神田,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=339708&callbackHistFlg=1,全室除菌スプレー完備★便利な地下鉄・淡路町駅から徒歩1分♪♪♪,7900,4.3,229,東京、銀座、神田、御茶ノ水駅とアクセス抜群！ 地下鉄丸ノ内線「淡路町駅」A2出口から徒歩1分、JR「神田駅」北口・JR「秋葉原駅」電気街口から徒歩7分♪,大人1名(税込)
センターホテル東京,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=307547&callbackHistFlg=1,東京駅から徒歩約10分◇1階にコンビニあり◇全館禁煙,5700,3.9,31,東京駅八重洲北口より徒歩約10分。銀座・六本木・恵比寿・渋谷へも地下鉄１本。 1階ロビーよりコンビニ直結(営業時間7：00～23：00),大人1名(税込)
三井ガーデンホテル京橋,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=369008&callbackHistFlg=1,◆クチコミ総合4.5◆　東京駅より徒歩5分、京橋駅より徒歩2分。,21500,4.2,15,デザインコンセプトは“江戸の粋”を現代に昇華させる「京橋モダン」。“判じ絵”など、遊び心を効かせた江戸庶民の文化を取り入れたデザイン。,大人1名(税込)
ヴィラフォンテーヌ東京神保町｜住友不動産,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=389136&callbackHistFlg=1,神保町駅より徒歩3分◆東京ドーム・武道館のライブ利用に最適♪,9570,4.5,630,神保町駅より徒歩3分◆東京ドーム徒歩約10分／日本武道館徒歩約15分◆5路線3駅利用可能で新宿・東京駅・浅草・お台場などビジネス観光にもおすすめ◆古書店が広がる神保町には、昔ながらの粋なお店も。,大人1名(税込)
ホテル モンテ エルマーナ東京（ホテルモントレグループ）,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=356942&callbackHistFlg=1,2022年7月グランドオープン。東京駅八重洲出口より徒歩3分,22000,4.1,97,ＪＲ東京駅より徒歩３分！客室には、４３インチのスマートＴＶを導入しており、美しい高画質４Ｋ映像をお楽しみ頂ける他、キャスト機能を使って、ご自身のコンテンツを映し出すなど、快適なご滞在をお約束。,大人1名(税込)
ヴィラフォンテーヌ東京九段下｜住友不動産,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=362924&callbackHistFlg=1,九段下駅徒歩8分。神保町駅徒歩3分。客室リニューアル完了♪,8570,4.2,1257,東京ドーム・武道館が徒歩圏内。神保町駅より徒歩3分、九段下駅徒歩8分。イベント・ビジネスに便利。水道橋西通り沿い。古本屋巡り、受験生・学生にもおすすめ。,大人1名(税込)
八重洲ターミナルホテル,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=363798&callbackHistFlg=1,ＪＲ東京駅八重洲北口より徒歩３分。地下鉄日本橋駅より徒歩３分。,9000,3.9,54,ＪＲ東京駅八重洲北口より徒歩３分。地下鉄日本橋駅より徒歩３分。,大人1名(税込)
神田ステーションホテル,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=319063&callbackHistFlg=1,神田駅南口より徒歩１分。気軽に利用できる交通至便なホテル,11500,4.1,15,JR山手線・中央線・地下鉄銀座線・半蔵門線など 都心主要線の神田駅から徒歩5分圏内で、 ビジネス・レジャーの拠点に最適な好立地ホテル。,大人1名(税込)
お茶の水ホテル　昇龍館,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=393600&callbackHistFlg=1,露天風呂付き客室がある東京の隠れ家ホテル【無料朝食・大浴場有】,9900,4.2,663,◆JR、地下鉄5路線の駅まで徒歩5分の好立地 ◆露天風呂付和室、シングル、ツインなど10種類の部屋タイプ ◆地下大浴場（サウナ付） ◆大浴場の混雑状況はQRコードでチェック可 ◆日替わりの無料朝食あり,大人1名(税込)
アパホテル〈秋葉原駅前〉【2025年3月客室設備リニューアル】,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=304438&callbackHistFlg=1,2025年3月客室設備リニューアル！JR秋葉原駅昭和通り口徒歩2分！,6100,3.6,510,全館、全室Wi-Fi接続無料！東京駅・上野駅2駅5分、銀座、築地、有楽町、新橋、浜松町、品川、新宿、池袋各駅すべて乗り換えなし！アクセス抜群!！各所テーマパークへ便利です！,大人1名(税込)
